UID,Level,ID,Name,Description,"Actor (RU = Railway Undertaker, IM = Infrastructure Manager, TA = Ticketing Authority)"
1.00,1,inform-customer,Inform Customer,"Provide information about transports for customers",RU/IM/TA
1.05,2,inform-customer/timetable,Publish Passenger Timetable and Route Information,"Provide trip planning basic information like timetables and maps for overview information and non-digital trip planning.",
1.10,2,inform-customer/trip-planning,Plan Passenger Trip,"Provide digital trip planning tools for mobile and fixed devices.",RU/TA
1.20,2,inform-customer/realtime-passenger,Inform passenger in real time,"Provide real-time passenger information in vehicles, in stations and on customer devices.",RU/IM/TA
1.30,2,inform-customer/realtime-freight,Inform Freight Customer in real time,"Provide real-time information for freight customers about the status of the transport and estimated time of arrival.",RU/IM
1.40,2,inform-customer/route-guidance,Guide passenger to alternative routes,"Recommend and guide travelers to alternative routes during disruptions",RU/IM
2.00,1,operations,"Perform passenger and freight transport operations","Provide services for passengers and goods during, before and after transport. Monitor train operations, vehicles, and infrastructure in operation. Manage disruptions and dispatch in short-term track capacity, rolling stock and staff according to the situation.",IM
2.10,2,operations/staff-dispatch,Short-term Staff Dispatching,"Adjustments of the roster due to unplanned short-term staff shortages because an employee cannot start their shift or cannot perform a scheduled task during their shift.",RU
2.20,2,operations/rolling-stock-dispatch,Short-term Rolling Stock Dispatching,"Adjustments of the roster due to unplanned short-term loss of the availability of a vehicle like a train, engine or carriage.",RU
2.30,2,operations/train-driving,Drive train,"Train driving (e.g. including Driver Advisory System)",RU
2.40,2,operations/ticket-inspection,Inspect ticket,"Check tickets on the train or before and after boarding or entering the station.",RU
2.50,2,operations/passenger-care,Care For Passengers,"Provide services for customers during the journey on the train as well as before and after boarding the train.",RU
2.60,2,operations/goods-care,Care For Goods,"Provide services for the transport of goods during the rail transport as well as before and after the transport. This can include services for safe transportation, loading and unloading as well as custom services.",RU
2.70,2,operations/emergency,Manage Emergency,"Coordinate help in an emergency situation. Alarm or dispatch emergency teams and equipment. This includes the operation of emergency trains, firefighters and ambulances.",IM
2.80,2,operations/path-control,Monitor and control Train Path ,"Monitoring via Sensors, Axles Counter, Signaling, Hotbox, Gage control. Control via Interlocking system.",IM
2.90,2,operations/stock-monitoring,Monitor Rolling Stock,"Monitor rolling stock during operation with sensors on the train and with wayside installations.",RU
3.00,1,sales,Market and Sale Services,"Market and sell transport services for passengers and goods according to demand.",
3.10,2,sales/freight,Sell Freight Transport,"Sell transport services to freight customers.",RU
3.30,2,sales/passenger,Sell Passenger Transport,"Sell tickets and other additional services to passengers.",RU
3.40,2,sales/forecasting,Forecast Traffic,"Forecast long-term demand for rail traffic and modal split.",RU/IM/TA
3.50,2,sales/pricing,Define Price and Product Policy,"Define pricing systems and policies for rail services.",RU/IM
